place,address,status,screen,capacity,contact,notes,section,maps
Shopify,—,,No SF event floor on file,—,https://x.com/liam_at_shopify · Koshika Samarasinghe (LinkedIn only) · Sayed Saber (LinkedIn only),,,
SpaceXAI,"295 Bay St, North Beach (former Northpoint Theatre; Cursor SF office, now SpaceXAI)",,Unknown,Unknown,Josh Kim. No public X. LinkedIn: https://www.linkedin.com/in/kimjoshua,,,"https://www.google.com/maps/search/?api=1&query=295+Bay+St,+North+Beach+(former+Northpoint+Theatre;+Cursor+SF+office,+now+SpaceXAI),+San+Francisco,+CA"
Stripe,"354 Oyster Point, SSF",,No downtown room,—,https://x.com/michelleefang · https://x.com/jbesw,,,"https://www.google.com/maps/search/?api=1&query=354+Oyster+Point,+SSF,+San+Francisco,+CA"
WorkOS,"660 Market St, Fl 3, 94104",,Office nights with talks + pizza. AV implied (they run demo nights),Typical 80–150 for their Luma nights,https://workos.com/community-events#request · @ulidabess · @grinich,,,"https://www.google.com/maps/search/?api=1&query=660+Market+St,+Fl+3,+94104,+San+Francisco,+CA"
2146 3rd St,"2146 3rd St, 94107",,Cafe cowork / Temporal Luma,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=2146+3rd+St,+94107,+San+Francisco,+CA"
3001 19th St,"3001 19th St, 94110",,Sim-to-real seminar,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=3001+19th+St,+94110,+San+Francisco,+CA"
555 20th St,"555 20th St, 94107",,Supabase Select listing,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=555+20th+St,+94107,+San+Francisco,+CA"
Baseten,"560 Davis St #250, 94111",,Talk space (multi-cloud Luma),Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=560+Davis+St+#250,+94111,+San+Francisco,+CA"
Figma (Phelan Building),"760 Market St, 94102",,Talk-capable office/event,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=760+Market+St,+94102,+San+Francisco,+CA"
847 Howard,"847 Howard St, 94103",,TechWeek / AI Native Summit listing,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=847+Howard+St,+94103,+San+Francisco,+CA"
Corgi Cafe,"9 Claude Ln, 94108",,Corgi Cup / Arize,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=9+Claude+Ln,+94108,+San+Francisco,+CA"
9Zero Climate Hub,"350 California St, 4th fl, 94104",,Recurring Luma nights (~8 upcoming),Unknown,teamsf@9zero.com · (415) 900-4441,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=350+California+St,+4th+fl,+94104,+San+Francisco,+CA"
Bay Area Metro Center,"375 Beale St, 94105",,MTC building,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=375+Beale+St,+94105,+San+Francisco,+CA"
Convene,"40 O'Farrell St and 100 Stockton St, 94102",,~4 upcoming on Luma,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=40+O'Farrell+St+and+100+Stockton+St,+94102,+San+Francisco,+CA"
Datadog,"50 Fremont St, 35th fl, 94105",,"Summit is at Hyatt Embarcadero Sep 23, not 50 Fremont",Unknown for HQ,"https://x.com/datadoghq · https://x.com/datadogdevs. summit@datadoghq.com is the conference inbox, not HQ bookings. No named HQ events person.",,"Company offices — ask, need an employee sponsor","https://www.google.com/maps/search/?api=1&query=50+Fremont+St,+35th+fl,+94105,+San+Francisco,+CA"
ERIA Marina,"2300 Chestnut St, 94123",,Founder/VC dinners,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=2300+Chestnut+St,+94123,+San+Francisco,+CA"
"Founders, Inc.","2 Marina Blvd, Building B / B300, Fort Mason, 94123",,"Startup campus, events",Unknown,"f.inc campus. LinkedIn HQ: 2 Marina Blvd, B 300 N",,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=2+Marina+Blvd,+Building+B+/+B300,+Fort+Mason,+94123,+San+Francisco,+CA"
Gray Area / Grand Theater,"2665 Mission St, 94110",,Theater / stage,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=2665+Mission+St,+94110,+San+Francisco,+CA"
Heath Ceramics,"2900 18th St, 94110",,Studio / show,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=2900+18th+St,+94110,+San+Francisco,+CA"
Hogpatch,"2360 3rd St, 94107",,~2 upcoming on Luma,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=2360+3rd+St,+94107,+San+Francisco,+CA"
Internet Archive,"300 Funston Ave, Richmond",,Great Hall has been used for talks,Mid,https://x.com/internetarchive · info@archive.org · 415-561-6767,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=300+Funston+Ave,+Richmond,+San+Francisco,+CA"
Love Potion Library,"284 Noe St, 94114",,Bookshop / small events,Small,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=284+Noe+St,+94114,+San+Francisco,+CA"
Manny’s,"3092 16th St, 94103",,Civic events + bookshop,Unknown,Booking form: https://www.welcometomannys.com,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=3092+16th+St,+94103,+San+Francisco,+CA"
Noisebridge,"272 Capp St, 94110",,Hackerspace (do-ocratic). Stage / classrooms on wiki,Unknown,"https://www.noisebridge.net/wiki/Address · mail is 2261 Market #235-A, not the door",,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=272+Capp+St,+94110,+San+Francisco,+CA"
Peacekeeper,"925 Bush St, 94109",,Day event (BOX SF listing),Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=925+Bush+St,+94109,+San+Francisco,+CA"
Postman,"One Market Plaza, 1 Market St, Steuart Tower, Suite 0800, 94105",,Unknown,Unknown,"https://x.com/getpostman · host Patricia Dugan (LinkedIn/Luma, no X) · info@postman.com · (415) 796-6470",,"Company offices — ask, need an employee sponsor","https://www.google.com/maps/search/?api=1&query=One+Market+Plaza,+1+Market+St,+Steuart+Tower,+Suite+0800,+94105,+San+Francisco,+CA"
Presidio Bitcoin,300 Keyes Ave,,Talk space,Tight at 60+,https://x.com/PresidioBitcoin · Hello@presidiobitcoin.org · https://x.com/HBerkoe · https://x.com/moneyball,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=300+Keyes+Ave,+San+Francisco,+CA"
Public Works,"161 Erie St, 94103",,Club / stage,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=161+Erie+St,+94103,+San+Francisco,+CA"
Swedish American Hall,"2174 Market St, 94114",,Hall / talks,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=2174+Market+St,+94114,+San+Francisco,+CA"
Swissnex / 333 Golden Gate,"333 Golden Gate Ave, 94102",,Pitch night,Unknown,Swissnex in San Francisco,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=333+Golden+Gate+Ave,+94102,+San+Francisco,+CA"
The Faight Collective,"473A Haight St, 94117",,Community / talks,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=473A+Haight+St,+94117,+San+Francisco,+CA"
The Green Room,"401 Van Ness Ave, 94102",,Event hall,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=401+Van+Ness+Ave,+94102,+San+Francisco,+CA"
The Hibernia,"1 Jones St, 94102",,Large event hall,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=1+Jones+St,+94102,+San+Francisco,+CA"
Three Embarcadero Center,"3 Embarcadero Ctr, 94111",,Bay Room used for AI workshop,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=3+Embarcadero+Ctr,+94111,+San+Francisco,+CA"
tiat,"151 Powell St, 94102",,Maker night (Luma),Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=151+Powell+St,+94102,+San+Francisco,+CA"
Wefunder,"1885 Mission St, 94103",,On Cerebral Valley + AI feed,Unknown,Unknown public events inbox,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=1885+Mission+St,+94103,+San+Francisco,+CA"
WeWork Two Embarcadero,"2 Embarcadero Ctr, 94111",,WeWork event rooms,Unknown,Unknown,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=2+Embarcadero+Ctr,+94111,+San+Francisco,+CA"
Coinbase,"1090 Dr. Maya Angelou Ln, Mission Rock Building B, 94158 (~150k sf)",,Unknown,Unknown,https://x.com/coinbase · https://x.com/CoinbaseDev,,"Company offices — ask, need an employee sponsor","https://www.google.com/maps/search/?api=1&query=1090+Dr.+Maya+Angelou+Ln,+Mission+Rock+Building+B,+94158+(~150k+sf),+San+Francisco,+CA"
Nvidia,"1090 Dr. Maya Angelou Ln, Mission Rock Building B 2nd fl, 94158 (~45k sf)",,They host Dev Monthly at *other* venues (recently House of AI). Not a public loft.,Unknown,community@nvidia.com · JoAnn Peach · https://x.com/joannpeach,,"Company offices — ask, need an employee sponsor","https://www.google.com/maps/search/?api=1&query=1090+Dr.+Maya+Angelou+Ln,+Mission+Rock+Building+B+2nd+fl,+94158+(~45k+sf),+San+Francisco,+CA"
55 Second POPOS,"55 2nd St, 94105",,,,,,,"https://www.google.com/maps/search/?api=1&query=55+2nd+St,+94105,+San+Francisco,+CA"
Entrepreneurs First,501 Folsom St,,Office events,Unknown,https://x.com/join_ef · applications@joinef.com,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=501+Folsom+St,+San+Francisco,+CA"
INSEAD SF Hub,224 Townsend St,,Classroom AV likely,Classroom,sfhub@insead.edu · +1 888 546-7323 · Director Vic Woo. No hub X (school is https://x.com/INSEAD).,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=224+Townsend+St,+San+Francisco,+CA"
Mind the Bridge,450 Townsend St,,Startup office / event,Small–mid,https://x.com/mindthebridge · event.space@mindthebridge.com,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=450+Townsend+St,+San+Francisco,+CA"
Vercel SF HQ,SF,,Office nights,Unknown,https://x.com/MarcBaiza,,,"https://www.google.com/maps/search/?api=1&query=SF,+San+Francisco,+CA"
111 Minna,"111 Minna St, 94105",,,,https://x.com/111MinnaGallery · (415) 974-1719 · michelle@111minnagallery.com,,,"https://www.google.com/maps/search/?api=1&query=111+Minna+St,+94105,+San+Francisco,+CA"
135 Mississippi / MBC BioLabs,"135 Mississippi St, 94107",,,,,,,"https://www.google.com/maps/search/?api=1&query=135+Mississippi+St,+94107,+San+Francisco,+CA"
25 Lusk,"25 Lusk St, 94107",,,,https://x.com/TwentyFiveLusk · events@25lusk.com · (415) 495-5875,,,"https://www.google.com/maps/search/?api=1&query=25+Lusk+St,+94107,+San+Francisco,+CA"
295 Bay as AWS,—,,,,,,,
953 Indiana,"953 Indiana St, 94107",,,,,,,"https://www.google.com/maps/search/?api=1&query=953+Indiana+St,+94107,+San+Francisco,+CA"
a16z,"180 Townsend St, 94107 (listed SF office). Jackson Square Speedrun office teased Aug 2026, no public street.",,Unknown,Unknown,https://x.com/a16z · events via build.a16z.com. No public community loft.,,"Company offices — ask, need an employee sponsor","https://www.google.com/maps/search/?api=1&query=180+Townsend+St,+94107+(listed+SF+office).+Jackson+Square+Speedrun+office+teased+Aug+2026,+no+public+street.,+San+Francisco,+CA"
Bright Data Web Data Loft,625 2nd St,,,,inquiry@hackersquad.io,,,"https://www.google.com/maps/search/?api=1&query=625+2nd+St,+San+Francisco,+CA"
Creative Landing / Peerspace SOMA loft,"440 9th St, 94103",,,,creativelandingsf@gmail.com,,,"https://www.google.com/maps/search/?api=1&query=440+9th+St,+94103,+San+Francisco,+CA"
DNA Lounge,375 11th,,,,booking@dnalounge.com,,,"https://www.google.com/maps/search/?api=1&query=375+11th,+San+Francisco,+CA"
DoorDash,"303 2nd St, 94107",,Unknown,Unknown,Ground host for an AI meetup: Sudeep Das (LinkedIn only). Org: https://x.com/doordash. Main line on maps: (650) 681-9470,,"Company offices — ask, need an employee sponsor","https://www.google.com/maps/search/?api=1&query=303+2nd+St,+94107,+San+Francisco,+CA"
Foreign Cinema,2534 Mission St,,Screening-capable restaurant,Dinner scale,"janine@foreigncinema.com · Janine Jacobson, private events · 415.648.7600 x124. No X (foreigncinemasf 404s).",,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=2534+Mission+St,+San+Francisco,+CA"
Frontier Tower,995 Market,,,,,,,"https://www.google.com/maps/search/?api=1&query=995+Market,+San+Francisco,+CA"
Galvanize,—,,,,,,,
GitHub 88 Colin P Kelly Jr,88 Colin P Kelly Jr St,,,,,,,"https://www.google.com/maps/search/?api=1&query=88+Colin+P+Kelly+Jr+St,+San+Francisco,+CA"
GitHub HQ,"275 Brannan St (not Townsend, not 88 Colin P Kelly Jr)",,Community space exists,Under 100,ashleywolf@github.com · pamela.fox@gmail.com,,"Company offices — ask, need an employee sponsor","https://www.google.com/maps/search/?api=1&query=275+Brannan+St+(not+Townsend,+not+88+Colin+P+Kelly+Jr),+San+Francisco,+CA"
Hotel VIA / Rooftop,"138 King St, 94107",,"Rooftop is a bar view, not a talk room. Ask about indoor meeting room + projector separately",Rooftop private event,https://x.com/hotelviasf · (415) 200-4977 · info@hotelviasf.com,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=138+King+St,+94107,+San+Francisco,+CA"
House of AI,40 Boardman Pl,,,,,,,"https://www.google.com/maps/search/?api=1&query=40+Boardman+Pl,+San+Francisco,+CA"
Humanmade,"655 Bryant St, 94107",,,,https://x.com/ngpadgett · info@humanmade.org · (415) 484-1437,,,"https://www.google.com/maps/search/?api=1&query=655+Bryant+St,+94107,+San+Francisco,+CA"
Impact Hub,—,,,,,,,
Joe & the Juice,301 Howard,,Not a talk room,Small,https://foundersocialclub.com form,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=301+Howard,+San+Francisco,+CA"
Microsoft Reactor,"555 California St #200, 94104",,Built for meetups. Projector / workshop AV,Community rooms,"ReactorSF@microsoft.com · (415) 430-2700 · https://x.com/MSFTReactor (global, no SF-specific X)",,"Company offices — ask, need an employee sponsor","https://www.google.com/maps/search/?api=1&query=555+California+St+#200,+94104,+San+Francisco,+CA"
OpenAI,"1455 / 1515 Third St, Mission Bay",,Internal events AV. No public community loft,Unknown,"Erin Leviant, LinkedIn only · https://x.com/openai · https://x.com/openaidevs",,"Company offices — ask, need an employee sponsor","https://www.google.com/maps/search/?api=1&query=1455+/+1515+Third+St,+Mission+Bay,+San+Francisco,+CA"
SF Nook,"1242 Market St, Fl 2, 94103",,,,,,,"https://www.google.com/maps/search/?api=1&query=1242+Market+St,+Fl+2,+94103,+San+Francisco,+CA"
SFJAZZ,"201 Franklin St, 94102",,,,,,,"https://www.google.com/maps/search/?api=1&query=201+Franklin+St,+94102,+San+Francisco,+CA"
SFPL Main,Civic Center,,,,,,,"https://www.google.com/maps/search/?api=1&query=Civic+Center,+San+Francisco,+CA"
Snowflake / Fleming’s / Hacker Dojo / CHM / Plug and Play / SJ McEnery / Microsoft MTV / Hyatt SFO / Santa Clara CC,South Bay,,,,,,,"https://www.google.com/maps/search/?api=1&query=South+Bay,+San+Francisco,+CA"
Soma Restaurant,85 5th Ste A,,,,,,,"https://www.google.com/maps/search/?api=1&query=85+5th+Ste+A,+San+Francisco,+CA"
SOMArts,934 Brannan St,,Stage + rear projection + lighting,650 standing,https://x.com/somarts · (415) 863-1414 · info@somarts.org · media@somarts.org · somarts.org/rentals,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=934+Brannan+St,+San+Francisco,+CA"
Standard Deviant Brewing,280 14th St,,Unknown / TVs more likely,Mid,(415) 690-2337 · Hari Masoor (no X) · Rahul Parundekar https://x.com/RahulParundekar · Ravi Ramachandran (no X),,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=280+14th+St,+San+Francisco,+CA"
Terra Gallery,511 Harrison St,,Event gallery,Mid–large,https://x.com/terragallerysf · info@terrasf.com · (415) 896-1234,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=511+Harrison+St,+San+Francisco,+CA"
The Box SF,"1069 Howard St, 94103",,,,https://x.com/TheBoxSF · info@theboxsf.com · (415) 934-6900,,,"https://www.google.com/maps/search/?api=1&query=1069+Howard+St,+94103,+San+Francisco,+CA"
The Commons,"540 / 550 Laguna St, Hayes Valley",,Full AV + projection + whiteboards + staff,Salon / studio scale,https://x.com/thesfcommons · hello@thesfcommons.com · https://www.thesfcommons.com/rentals,,Other SF rooms with a screen,"https://www.google.com/maps/search/?api=1&query=540+/+550+Laguna+St,+Hayes+Valley,+San+Francisco,+CA"
The Lark,685 Market,,,,,,,"https://www.google.com/maps/search/?api=1&query=685+Market,+San+Francisco,+CA"
595 Pacific,595 Pacific Ave,,,,,,,"https://www.google.com/maps/search/?api=1&query=595+Pacific+Ave,+San+Francisco,+CA"
Commonwealth Club,,,,,,,,
Conservatory at One Sansome,,,,,,,,
Contemporary Jewish Museum,,,,,,,,
Delancey Street Screening Room,,,,,,,,
Hotel Nikko 222 Mason,222 Mason St,,,,,,,"https://www.google.com/maps/search/?api=1&query=222+Mason+St,+San+Francisco,+CA"
Hyatt Regency,,,,,,,,
Marines' Memorial,,,,,,,,
Moscone West,,,,,,,,
Pier 48,48,,,,,,,"https://www.google.com/maps/search/?api=1&query=48,+San+Francisco,+CA"
The Avalon,,,,,,,,
The Fold,,,,,,,,
Trellis Coworking,,,,,,,,
Unify,,,,,,,,
Salesforce Tower,"415 Mission St, 94105",,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=415+Mission+St%2C+94105%2C+San+Francisco%2C+CA
The Melody of San Francisco,,,,,,,Other SF rooms with a screen,
CANOPY Jackson Square,,,,,,,Other SF rooms with a screen,
One Kearny Club,"1 Kearny St, 94108",,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=1+Kearny+St%2C+94108%2C+San+Francisco%2C+CA
Saluhall SF,,,,,,,Other SF rooms with a screen,
1031 Post St,1031 Post St,,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=1031+Post+St%2C+San+Francisco%2C+CA
The Midway,,,,,,,Other SF rooms with a screen,
The Regency Ballroom,,,,,,,Other SF rooms with a screen,
Cafe Francisco,,,,,,,Other SF rooms with a screen,
SPIN San Francisco,,,,,,,Other SF rooms with a screen,
Ayoub & Kubein Building,,,,,,,Other SF rooms with a screen,
Novela,,,,,,,Other SF rooms with a screen,
Golden Eye Social,,,,,,,Other SF rooms with a screen,
Dragon Horse,,,,,,,Other SF rooms with a screen,
Local Edition,,,,,,,Other SF rooms with a screen,
The Howard SF,,,,,,,Other SF rooms with a screen,
20 Annie St,20 Annie St,,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=20+Annie+St%2C+San+Francisco%2C+CA
101 California St,101 California St,,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=101+California+St%2C+San+Francisco%2C+CA
Argonaut Hotel,,,,,,,Other SF rooms with a screen,
Okta,,,,,,,Other SF rooms with a screen,
Carta,,,,,,,Other SF rooms with a screen,
Y Combinator,,,,,,,Other SF rooms with a screen,
Yerba Buena Bar,,,,,,,Other SF rooms with a screen,
821 Howard St,821 Howard St,,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=821+Howard+St%2C+San+Francisco%2C+CA
475 Brannan St,475 Brannan St,,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=475+Brannan+St%2C+San+Francisco%2C+CA
501 2nd St,"501 2nd St, suite 550",,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=501+2nd+St%2C+suite+550%2C+San+Francisco%2C+CA
585 Market St,585 Market St,,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=585+Market+St%2C+San+Francisco%2C+CA
600 Townsend St,600 Townsend St suite 125,,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=600+Townsend+St+suite+125%2C+San+Francisco%2C+CA
989 Market St,989 Market St,,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=989+Market+St%2C+San+Francisco%2C+CA
The Grove Restaurant & Bar,,,,,,,Other SF rooms with a screen,
The Detour,,,,,,,Other SF rooms with a screen,
MindsDB,,,,,,,Other SF rooms with a screen,
Crissy Field,,,,,,,Other SF rooms with a screen,
Secret Bar at Son & Garden,,,,,,,Other SF rooms with a screen,
Startuplab,,,,,,,Other SF rooms with a screen,
True Ventures,,,,,,,Other SF rooms with a screen,
Tesla San Francisco - Van Ness,,,,,,,Other SF rooms with a screen,
201 Mission St,201 Mission St suite 300,,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=201+Mission+St+suite+300%2C+San+Francisco%2C+CA
Shelby's Rooftop,,,,,,,Other SF rooms with a screen,
CodeRabbit,,,,,,,Other SF rooms with a screen,
Southern Pacific Brewing,,,,,,,Other SF rooms with a screen,
incident.io,,,,,,,Other SF rooms with a screen,
717 Market St,717 Market St #100,,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=717+Market+St+%23100%2C+San+Francisco%2C+CA
Natoma Cabana,,,,,,,Other SF rooms with a screen,
Above The Rim,,,,,,,Other SF rooms with a screen,
STAK Space,"1920 Broadway, Oakland",,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=1920+Broadway%2C+Oakland
The Pawn Shop,,,,,,,Other SF rooms with a screen,
Chase Center,,,,,,,Other SF rooms with a screen,
Intercom,,,,,,,Other SF rooms with a screen,
The Bank at Amador,,,,,,,Other SF rooms with a screen,
Verjus,,,,,,,Other SF rooms with a screen,
35 S Park St,35 S Park St,,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=35+S+Park+St%2C+San+Francisco%2C+CA
San Francisco Museum of Modern Art,,,,,,,Other SF rooms with a screen,
Blackwood,,,,,,,Other SF rooms with a screen,
IDEO,,,,,,,Other SF rooms with a screen,
Moscone Center,,,,,,,Other SF rooms with a screen,
1900 Broadway,"1900 Broadway, Oakland",,,,,,Other SF rooms with a screen,https://www.google.com/maps/search/?api=1&query=1900+Broadway%2C+Oakland
